Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
USB,,UFD,2.0 Silicon-Power64G 64GB,492,6.87,39,https://usb.userbenchmark.com/SpeedTest/6233/UFD-20-Silicon-Power64G
USB,,,,493,6.82,152,https://usb.userbenchmark.com/SpeedTest/5446/
USB,DT101G2/32GB,Kingston,DataTraveler 101 G2 USB 2.0 32GB,494,6.74,339,https://usb.userbenchmark.com/SpeedTest/3026/Kingston-DT-101-G2
USB,,SanDisk,Cruzer Micro 4GB,495,6.74,234,https://usb.userbenchmark.com/SpeedTest/2536/SanDisk-Cruzer-Micro
USB,,,silicon-power 16GB,496,6.71,46,https://usb.userbenchmark.com/SpeedTest/1806/silicon-power
USB,,TOSHIBA,TransMemory 16GB,497,6.66,5846,https://usb.userbenchmark.com/SpeedTest/1430/TOSHIBA-TransMemory
USB,,Kingston,DataTraveler G3 32GB,498,6.64,253,https://usb.userbenchmark.com/SpeedTest/1505/Kingston-DataTraveler-G3
USB,,Kingston,DataTraveler SE9 64GB,499,6.61,37,https://usb.userbenchmark.com/SpeedTest/1779/Kingston-DataTraveler-SE9
USB,,pqi,IntelligentStick 16GB,500,6.56,44,https://usb.userbenchmark.com/SpeedTest/3896/pqi-IntelligentStick
USB,,JetFlash,Transcend 8GB,501,6.53,572,https://usb.userbenchmark.com/SpeedTest/2417/JetFlash-Transcend-8GB
USB,,SanDisk,Cruzer Micro 2GB,502,6.42,183,https://usb.userbenchmark.com/SpeedTest/1362/SanDisk-Cruzer-Micro
USB,,Kingston,DataTraveler 2.0 64GB,503,6.41,1197,https://usb.userbenchmark.com/SpeedTest/1364/Kingston-DataTraveler-20
USB,,PNY,Transformer 32GB,504,6.39,34,https://usb.userbenchmark.com/SpeedTest/10614/PNY-Transformer
USB,,SanDisk,U3 Cruzer Micro 4GB,505,6.37,564,https://usb.userbenchmark.com/SpeedTest/1162/SanDisk-U3-Cruzer-Micro
USB,,Corsair,Voyager 8GB,506,6.32,225,https://usb.userbenchmark.com/SpeedTest/8294/Corsair-Voyager
USB,,SanDisk,U3 Cruzer Micro 2GB,507,6.29,566,https://usb.userbenchmark.com/SpeedTest/1185/SanDisk-U3-Cruzer-Micro
USB,,Kingston,DataTraveler 108 16GB,508,6.27,107,https://usb.userbenchmark.com/SpeedTest/2308/Kingston-DataTraveler-108
USB,,hp,v125w 32GB,509,6.26,53,https://usb.userbenchmark.com/SpeedTest/6508/hp-v125w
USB,,FLASH,Drive 3S_USB20 2GB,510,6.24,20,https://usb.userbenchmark.com/SpeedTest/4658/FLASH-Drive-3S-USB20
USB,,Intenso,Rainbow Line 32GB,511,6.23,114,https://usb.userbenchmark.com/SpeedTest/8760/Intenso-Rainbow-Line
USB,,Kingston,DT microDuo 16GB,512,6.22,535,https://usb.userbenchmark.com/SpeedTest/9201/Kingston-DT-microDuo
USB,,Kingston,DT microDuo 64GB,513,6.22,57,https://usb.userbenchmark.com/SpeedTest/8565/Kingston-DT-microDuo
USB,,Lexar,USB Flash Drive 64GB,514,6.21,105,https://usb.userbenchmark.com/SpeedTest/4993/Lexar-USB-Flash-Drive
USB,,,silicon-power 4GB,515,6.21,62,https://usb.userbenchmark.com/SpeedTest/6042/silicon-power
USB,,,,516,6.19,95,https://usb.userbenchmark.com/SpeedTest/10865/
USB,,hp,v125w 8GB,517,6.19,255,https://usb.userbenchmark.com/SpeedTest/6352/hp-v125w
USB,,JetFlash,TS8GJFV10 8GB,518,6.19,43,https://usb.userbenchmark.com/SpeedTest/7107/JetFlash-TS8GJFV10
USB,,hp,v165w 32GB,519,6.18,209,https://usb.userbenchmark.com/SpeedTest/6507/hp-v165w
