Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
HDD,,Hitachi,HTS545032B9SA00 320GB,701,31.6,513,https://hdd.userbenchmark.com/SpeedTest/10455/Hitachi-HTS545032B9SA00
HDD,,Hitachi,HDT725032VLA360 320GB,702,31.6,2173,https://hdd.userbenchmark.com/SpeedTest/1265/Hitachi-HDT725032VLA360
HDD,,Hitachi,HDT725032VLA380 320GB,703,31.6,2494,https://hdd.userbenchmark.com/SpeedTest/2691/Hitachi-HDT725032VLA380
HDD,,Hitachi,HTS545050KTA300 500GB,704,31.5,119,https://hdd.userbenchmark.com/SpeedTest/9294/Hitachi-HTS545050KTA300
HDD,,WD,WD3200AAVS-00ZTB0 320GB,705,31.5,239,https://hdd.userbenchmark.com/SpeedTest/5519/WDC-WD3200AAVS-00ZTB0
HDD,,Toshiba,MK6476GSX 640GB,706,31.5,1846,https://hdd.userbenchmark.com/SpeedTest/795/TOSHIBA-MK6476GSX
HDD,ST9500325AS,Seagate,Momentus 5400.6 2.5" 500GB,707,31.5,37427,https://hdd.userbenchmark.com/SpeedTest/166/ST9500325AS
HDD,,Seagate,ST3250620A 250GB,708,31.4,315,https://hdd.userbenchmark.com/SpeedTest/8803/ST3250620A
HDD,,Toshiba,MK5059GSXP 500GB,709,31.4,2582,https://hdd.userbenchmark.com/SpeedTest/2764/TOSHIBA-MK5059GSXP
HDD,,Samsung,HD161HJ 160GB,710,31.4,9013,https://hdd.userbenchmark.com/SpeedTest/1496/SAMSUNG-HD161HJ
HDD,,Maxtor,STM3320820A 320GB,711,31.3,132,https://hdd.userbenchmark.com/SpeedTest/5392/MAXTOR-STM3320820A
HDD,,Samsung,HD252KJ 250GB,712,31.2,722,https://hdd.userbenchmark.com/SpeedTest/3923/SAMSUNG-HD252KJ
HDD,,WD,WD1600AVBS-63SVA0 160GB,713,31.2,250,https://hdd.userbenchmark.com/SpeedTest/3472/WDC-WD1600AVBS-63SVA0
HDD,,Seagate,ST3250820A 250GB,714,31.2,384,https://hdd.userbenchmark.com/SpeedTest/709/ST3250820A
HDD,,Toshiba,MK5065GSXN 500GB,715,31.2,984,https://hdd.userbenchmark.com/SpeedTest/5561/TOSHIBA-MK5065GSXN
HDD,,Maxtor,7H500F0 500GB,716,31.2,488,https://hdd.userbenchmark.com/SpeedTest/3697/Maxtor-7H500F0
HDD,WD5000BEVT,WD,Blue 2.5" 500GB (2009),717,31.2,13492,https://hdd.userbenchmark.com/SpeedTest/1943/WDC-WD5000BEVT-22A0RT0
HDD,,Seagate,ST3300822AS 300GB,718,31.1,279,https://hdd.userbenchmark.com/SpeedTest/4225/ST3300822AS
HDD,,Hitachi,HTS545050B9A300 500GB,719,31.1,8223,https://hdd.userbenchmark.com/SpeedTest/1634/Hitachi-HTS545050B9A300
HDD,,Hitachi,HTS545025B9A300 250GB,720,31.1,3724,https://hdd.userbenchmark.com/SpeedTest/1535/Hitachi-HTS545025B9A300
HDD,,Toshiba,MK5055GSXN 500GB,721,31.1,358,https://hdd.userbenchmark.com/SpeedTest/1798/TOSHIBA-MK5055GSXN
HDD,,Hitachi,HTS723225L9A360 250GB,722,31,275,https://hdd.userbenchmark.com/SpeedTest/4544/Hitachi-HTS723225L9A360
HDD,,Hitachi,HDT725040VLA360 400GB,723,30.9,694,https://hdd.userbenchmark.com/SpeedTest/1719/Hitachi-HDT725040VLA360
HDD,,Seagate,ST3160815SV 160GB,724,30.9,295,https://hdd.userbenchmark.com/SpeedTest/10181/ST3160815SV
HDD,,Maxtor,6V080E0 82GB,725,30.9,403,https://hdd.userbenchmark.com/SpeedTest/2524/Maxtor-6V080E0
HDD,,Samsung,SP2504C 250GB,726,30.8,6462,https://hdd.userbenchmark.com/SpeedTest/2057/SAMSUNG-SP2504C
HDD,,Hitachi,HUA721075KLA 750GB,727,30.8,16,https://hdd.userbenchmark.com/SpeedTest/6886/Hitachi-HUA721075KLA
HDD,,Maxtor,6V250F0 251GB,728,30.8,868,https://hdd.userbenchmark.com/SpeedTest/2361/Maxtor-6V250F0
HDD,,Hitachi,HTS545032A7E380 320GB,729,30.8,2087,https://hdd.userbenchmark.com/SpeedTest/1588/Hitachi-HTS545032A7E380
HDD,,Seagate,ST3400832AS 400GB,730,30.6,996,https://hdd.userbenchmark.com/SpeedTest/780/ST3400832AS
HDD,,Seagate,ST9250315AS 250GB,731,30.6,5580,https://hdd.userbenchmark.com/SpeedTest/624/ST9250315AS
HDD,,Toshiba,MK3275GSX 320GB,732,30.6,1700,https://hdd.userbenchmark.com/SpeedTest/6320/TOSHIBA-MK3275GSX
HDD,,Hitachi,HDS721616PLA380 165GB,733,30.6,1799,https://hdd.userbenchmark.com/SpeedTest/3895/Hitachi-HDS721616PLA380
HDD,,Hitachi,HTS543225A7A384 250GB,734,30.6,912,https://hdd.userbenchmark.com/SpeedTest/9742/Hitachi-HTS543225A7A384
HDD,,Toshiba,MK5076GSXN 500GB,735,30.5,297,https://hdd.userbenchmark.com/SpeedTest/11398/TOSHIBA-MK5076GSXN
HDD,,Maxtor,6V320F0 320GB,736,30.5,365,https://hdd.userbenchmark.com/SpeedTest/7185/Maxtor-6V320F0
HDD,,Maxtor,STM3160211AS 160GB,737,30.5,799,https://hdd.userbenchmark.com/SpeedTest/8177/MAXTOR-STM3160211AS
HDD,,Maxtor,STM380215AS 80GB,738,30.4,988,https://hdd.userbenchmark.com/SpeedTest/2696/MAXTOR-STM380215AS
HDD,,Maxtor,6V160E0 160GB,739,30.4,1029,https://hdd.userbenchmark.com/SpeedTest/4072/Maxtor-6V160E0
HDD,,WD,WD1600AABS-00PRA0 160GB,740,30.4,3588,https://hdd.userbenchmark.com/SpeedTest/1353/WDC-WD1600AABS-00PRA0
HDD,,Seagate,ST3500630A 500GB,741,30.4,419,https://hdd.userbenchmark.com/SpeedTest/6609/ST3500630A
HDD,,Seagate,ST3160812AS 160GB,742,30.4,5305,https://hdd.userbenchmark.com/SpeedTest/1935/ST3160812AS
HDD,,Toshiba,MK5075GSX 500GB,743,30.4,2708,https://hdd.userbenchmark.com/SpeedTest/4046/TOSHIBA-MK5075GSX
HDD,,Seagate,ST3160211AS 160GB,744,30.3,683,https://hdd.userbenchmark.com/SpeedTest/7276/ST3160211AS
HDD,,Samsung,HD753LI 750GB,745,30.2,25,https://hdd.userbenchmark.com/SpeedTest/10511/SAMSUNG-HD753LI
HDD,,Seagate,ST3250823AS 250GB,746,30.1,2412,https://hdd.userbenchmark.com/SpeedTest/2690/ST3250823AS
HDD,,Hitachi,HDS721616PLA380 160GB,747,30.1,4299,https://hdd.userbenchmark.com/SpeedTest/2578/Hitachi-HDS721616PLA380
HDD,,Hitachi,HTS543232A7A384 320GB,748,30.1,7068,https://hdd.userbenchmark.com/SpeedTest/4638/HITACHI-HTS543232A7A384
HDD,,Seagate,ST3160815AS 160GB,749,30.1,16111,https://hdd.userbenchmark.com/SpeedTest/1990/ST3160815AS
HDD,,Seagate,ST3802110AS 80GB,750,30.1,210,https://hdd.userbenchmark.com/SpeedTest/2586/ST3802110AS
HDD,,Seagate,ST3160811AS 160GB,751,29.9,2717,https://hdd.userbenchmark.com/SpeedTest/3594/ST3160811AS
HDD,,Hitachi,HTS54323 320GB,752,29.8,159,https://hdd.userbenchmark.com/SpeedTest/7228/Hitachi-HTS54323
HDD,,Seagate,ST380211AS 80GB,753,29.7,432,https://hdd.userbenchmark.com/SpeedTest/2053/ST380211AS
HDD,,Maxtor,STM3160215AS 160GB,754,29.7,3507,https://hdd.userbenchmark.com/SpeedTest/1296/MAXTOR-STM3160215AS
HDD,,Samsung,SP2514N 250GB,755,29.7,394,https://hdd.userbenchmark.com/SpeedTest/4577/SAMSUNG-SP2514N
HDD,,Toshiba,MK5055GSX 500GB,756,29.7,2358,https://hdd.userbenchmark.com/SpeedTest/2029/TOSHIBA-MK5055GSX
HDD,,Maxtor,6V200E0 204GB,757,29.6,839,https://hdd.userbenchmark.com/SpeedTest/1837/Maxtor-6V200E0
HDD,,Samsung,HD403LJ 400GB,758,29.6,2474,https://hdd.userbenchmark.com/SpeedTest/3800/SAMSUNG-HD403LJ
HDD,,WD,WD3200YS-01PGB0 320GB,759,29.6,555,https://hdd.userbenchmark.com/SpeedTest/3238/WDC-WD3200YS-01PGB0
HDD,,WD,WD3200JD-22K 320GB,760,29.6,439,https://hdd.userbenchmark.com/SpeedTest/6647/WDC-WD3200JD-22K
HDD,,Seagate,ST3160815A 160GB,761,29.5,435,https://hdd.userbenchmark.com/SpeedTest/1808/ST3160815A
HDD,,Seagate,ST3300622AS 300GB,762,29.5,443,https://hdd.userbenchmark.com/SpeedTest/2993/ST3300622AS
HDD,,Seagate,ST3400633AS 400GB,763,29.5,258,https://hdd.userbenchmark.com/SpeedTest/6724/ST3400633AS
HDD,,Seagate,ST380215AS 80GB,764,29.5,1600,https://hdd.userbenchmark.com/SpeedTest/6286/ST380215AS
HDD,WD2500BPVT,WD,Blue 2.5" 250GB (2010),765,29.4,1109,https://hdd.userbenchmark.com/SpeedTest/2517/WDC-WD2500BPVT-75JJ5T0
HDD,,Seagate,ST925032 0AS 250GB,766,29.4,685,https://hdd.userbenchmark.com/SpeedTest/4392/ST925032-0AS
HDD,,Seagate,ST3160215SCE 160GB,767,29.4,1103,https://hdd.userbenchmark.com/SpeedTest/9361/ST3160215SCE
HDD,,WD,WD2500YD-01NVB1 251GB,768,29.3,297,https://hdd.userbenchmark.com/SpeedTest/8909/WDC-WD2500YD-01NVB1
HDD,,Maxtor,6L160M0 160GB,769,29.3,259,https://hdd.userbenchmark.com/SpeedTest/4958/Maxtor-6L160M0
HDD,,WD,WD3200KS-00PFB0 320GB,770,29.3,1696,https://hdd.userbenchmark.com/SpeedTest/676/WDC-WD3200KS-00PFB0
HDD,,Seagate,ST3400832A 400GB,771,29.3,99,https://hdd.userbenchmark.com/SpeedTest/2624/ST3400832A
HDD,,WD,WD1600YS-18SHB2 160GB,772,29.2,127,https://hdd.userbenchmark.com/SpeedTest/10150/WDC-WD1600YS-18SHB2
HDD,,Toshiba,MK5065GSX 500GB,773,29.2,1755,https://hdd.userbenchmark.com/SpeedTest/252/TOSHIBA-MK5065GSX
HDD,,Toshiba,MK5076GSX 500GB,774,29.2,2904,https://hdd.userbenchmark.com/SpeedTest/2073/TOSHIBA-MK5076GSX
HDD,,WD,WD1600YS-01SHB1 165GB,775,29.2,520,https://hdd.userbenchmark.com/SpeedTest/10600/WDC-WD1600YS-01SHB1
HDD,,WD,WD3200JS-63PDB1 320GB,776,29.1,1753,https://hdd.userbenchmark.com/SpeedTest/4071/WDC-WD3200JS-63PDB1
HDD,,Maxtor,STM3160215A 160GB,777,29.1,362,https://hdd.userbenchmark.com/SpeedTest/9767/MAXTOR-STM3160215A
HDD,,WD,WD4000YR-01PLB0 400GB,778,29.1,125,https://hdd.userbenchmark.com/SpeedTest/3948/WDC-WD4000YR-01PLB0
HDD,,Seagate,ST3808110AS 80GB,779,29,2348,https://hdd.userbenchmark.com/SpeedTest/4753/ST3808110AS
HDD,,Seagate,ST380811AS 80GB,780,29,1597,https://hdd.userbenchmark.com/SpeedTest/2147/ST380811AS
HDD,,Seagate,ST3160212AS 160GB,781,29,895,https://hdd.userbenchmark.com/SpeedTest/6800/ST3160212AS
HDD,,Seagate,ST380815AS 80GB,782,28.8,7878,https://hdd.userbenchmark.com/SpeedTest/637/ST380815AS
HDD,,Hitachi,HDT725032VLAT80 320GB,783,28.8,111,https://hdd.userbenchmark.com/SpeedTest/5147/Hitachi-HDT725032VLAT80
HDD,,Maxtor,7L250S0 251GB,784,28.8,195,https://hdd.userbenchmark.com/SpeedTest/4393/Maxtor--7L250S0
